Arc time (s)	Amperage (A)	Voltage (V)	Wire feed speed (in/min)	WeldScore (%)	Global scale factor	True Energy (J)
6.719	73.1	14.9	178	0.0	-0.1739	8431
6.985	82.1	15.2	178	0.0	-0.1198	8805
7.235	78.5	15.1	179	0.0	-0.2038	9038
7.469	79.6	15.4	179	0.0	-0.2165	9291
7.703	80.8	15.9	179	0.0	-0.2004	9669
7.969	75.9	16.1	179	0.0	-0.2575	9904
8.219	75.7	15.9	177	0.0	-0.2572	10265
8.485	81.0	15.6	179	0.0	-0.2628	10638
8.719	78.3	15.5	178	0.0	-0.2014	10865
8.953	77.5	15.6	179	0.0	-0.2618	11112
9.188	81.1	15.7	181	0.0	-0.2516	11492
9.438	81.2	15.9	179	0.0	-0.3170	11747
9.672	77.7	15.9	179	0.0	-0.3134	11990
9.907	76.6	15.7	180	0.0	-0.3085	12346
10.141	77.3	15.6	180	0.0	-0.2880	12588
10.391	75.2	15.7	179	0.0	-0.3081	12934
6/23/2025 2:19:20 PM
0.000	33.7	28.5	206	0.0	-0.2768	205
0.297	73.7	19.6	184	0.0	-0.2867	554
0.531	79.3	15.6	180	0.0	-0.2764	794
0.765	76.7	15.6	179	0.0	-0.3182	1154
1.000	74.6	15.8	178	0.0	-0.3113	1382
1.234	74.6	15.9	179	0.0	-0.3478	1618
1.484	75.9	15.6	179	0.0	-0.3681	1971
1.734	77.7	15.8	179	0.0	-0.3685	2215
1.984	77.2	15.8	179	0.0	-0.3793	2576
2.203	76.9	15.7	179	0.0	-0.3864	2813
2.453	75.7	15.7	179	0.0	-0.3901	3042
2.687	75.6	15.7	179	0.0	-0.3630	3397
2.937	77.0	15.7	178	0.0	-0.4082	3636
3.172	77.1	15.6	178	0.0	-0.3986	3987
3.406	77.4	15.5	180	0.0	-0.4008	4224
3.656	75.7	15.7	180	0.0	-0.3963	4454
3.906	75.9	15.7	179	0.0	-0.3838	4804
4.140	75.4	15.6	180	0.0	-0.4110	5037
4.375	75.1	15.7	181	0.0	-0.4304	5386
4.609	75.0	15.7	179	0.0	-0.4104	5617
4.859	76.5	15.6	179	0.0	-0.4416	5852
5.109	77.5	15.3	178	0.0	-0.2432	6202
5.343	76.6	15.1	179	0.0	-0.3574	6420
5.593	79.1	15.5	179	0.0	-0.3735	6791
5.812	80.0	15.6	178	0.0	-0.3748	7040
6.062	79.0	15.5	178	0.0	-0.3861	7399
6.312	76.3	15.6	179	0.0	-0.4026	7631
6.562	74.6	15.7	178	0.0	-0.3814	7974
6.812	76.3	15.7	179	0.0	-0.4107	8208
7.047	77.9	15.6	179	0.0	-0.4201	8448
7.281	78.7	15.6	179	0.0	-0.3940	8809
7.531	80.1	15.5	180	0.0	-0.3928	9054
7.750	79.5	15.5	179	0.0	-0.3813	9299
7.984	77.9	15.6	180	0.0	-0.3937	9655
8.218	76.6	15.6	179	0.0	-0.4010	9889
8.453	77.0	15.6	179	0.0	-0.3772	10124
8.703	77.7	15.4	179	0.0	-0.3834	10479
8.953	76.1	15.4	179	0.0	-0.3751	10818
9.187	78.8	15.5	180	0.0	-0.3594	11058
9.422	81.6	15.1	178	0.0	-0.3199	11305
9.656	80.5	15.3	179	0.0	-0.3187	11549
9.906	82.3	15.6	179	0.0	-0.3276	11928
10.140	80.6	15.7	179	0.0	-0.3597	12171
10.359	77.9	15.8	180	0.0	-0.3840	12524
6/23/2025 2:24:30 PM
0.000	0.0	6.1	0	0.0	0.0000	2
0.297	66.2	26.2	161	0.0	-0.0745	373
0.547	82.7	17.8	180	0.0	-0.1198	765
0.766	78.5	15.8	179	0.0	-0.0850	1003
1.016	77.6	15.9	179	0.0	-0.1696	1257
1.250	77.2	15.9	178	0.0	-0.1647	1617
1.500	80.4	15.6	178	0.0	-0.1326	1878
1.734	81.1	15.7	179	0.0	-0.1807	2244
1.969	79.5	15.9	180	0.0	-0.2034	2502
2.203	78.3	16.0	179	0.0	-0.2420	2751
2.453	77.6	16.1	179	0.0	-0.2598	3118
2.687	78.4	16.0	180	0.0	-0.2803	3369
2.922	76.1	16.0	179	0.0	-0.2429	3605
3.156	77.4	15.4	180	0.0	-0.2512	3964
3.391	78.8	15.1	177	0.0	-0.2260	4208
3.641	80.0	15.4	179	0.0	-0.2531	4453
3.859	79.4	15.5	178	0.0	-0.2545	4821
4.094	77.7	15.4	179	0.0	-0.1902	5053
4.328	77.7	15.4	180	0.0	-0.2319	5301
4.562	77.2	15.4	179	0.0	-0.2349	5659
4.812	77.5	15.5	178	0.0	-0.1534	5904
5.062	75.4	15.5	179	0.0	-0.2206	6248
5.297	76.8	15.6	180	0.0	-0.1619	6490
5.516	78.4	15.7	178	0.0	-0.1656	6735
5.750	80.2	15.5	179	0.0	-0.1706	7111
6.000	80.7	15.5	179	0.0	-0.1909	7345
6.250	80.6	15.6	179	0.0	-0.2095	7729
6.469	79.9	15.5	179	0.0	-0.1442	7980
6.703	76.1	15.4	179	0.0	-0.2148	8212
6.953	75.2	15.5	178	0.0	-0.1682	8556
7.219	78.1	15.8	178	0.0	-0.2109	8802
7.453	78.0	15.8	179	0.0	-0.2196	9164
7.687	79.2	15.7	179	0.0	-0.2475	9412
7.922	80.8	15.9	179	0.0	-0.2827	9664
8.156	81.2	15.9	180	0.0	-0.2951	10045
8.391	78.2	15.8	179	0.0	-0.2360	10285
8.625	74.8	15.4	180	0.0	-0.2336	10510
8.859	74.1	15.5	180	0.0	-0.3033	10860
9.094	75.4	15.8	180	0.0	-0.3216	11093
9.328	76.9	15.9	179	0.0	-0.2857	11336
9.578	80.1	15.7	179	0.0	-0.2907	11711
9.812	82.1	15.4	178	0.0	-0.3123	11963
10.062	80.4	15.5	178	0.0	-0.2624	12329
10.297	78.0	15.6	179	0.0	-0.2772	12571
10.531	76.4	15.7	178	0.0	-0.3126	12808
6/23/2025 2:29:41 PM
0.000	2.1	15.6	104	0.0	0.0000	0
0.281	58.6	24.4	172	0.0	-0.1081	403
0.516	78.2	16.9	178	0.0	-0.2277	638
0.750	77.9	15.5	179	0.0	-0.2258	877
1.000	75.9	15.8	179	0.0	-0.2641	1230
1.235	77.7	16.0	180	0.0	-0.2927	1477
1.469	79.7	16.1	179	0.0	-0.2663	1860
1.703	80.4	16.0	178	0.0	-0.2982	2112
1.922	79.4	15.7	179	0.0	-0.3199	2355
2.172	79.1	15.6	178	0.0	-0.3092	2722
2.422	78.8	15.4	179	0.0	-0.3057	2957
2.688	77.7	15.6	178	0.0	-0.2871	3317
2.922	76.0	15.7	178	0.0	-0.3201	3556
3.172	76.7	15.6	179	0.0	-0.2963	3914
3.406	75.7	15.6	178	0.0	-0.3150	4143
3.656	75.0	15.6	179	0.0	-0.2918	4375
3.891	78.5	15.6	180	0.0	-0.2849	4744
4.125	77.9	15.6	180	0.0	-0.3195	4983
4.375	77.5	15.6	180	0.0	-0.2739	5342
4.610	77.2	15.6	180	0.0	-0.3360	5580
4.844	74.8	15.6	179	0.0	-0.3240	5811
5.078	75.8	15.6	179	0.0	-0.3026	6166
5.328	77.7	15.6	179	0.0	-0.3480	6403
5.563	81.6	15.7	179	0.0	-0.3131	6659
5.813	81.9	15.6	178	0.0	-0.3360	7033
6.063	80.0	15.6	179	0.0	-0.3220	7402
6.313	79.1	15.6	178	0.0	-0.3224	7642
6.531	77.7	15.5	179	0.0	-0.3601	7886
6.781	75.7	15.8	180	0.0	-0.3511	8233
7.016	76.7	15.7	179	0.0	-0.3355	8468
7.250	78.1	15.5	179	0.0	-0.3328	8706
7.500	78.8	15.6	179	0.0	-0.3734	9072
7.719	78.6	15.7	179	0.0	-0.3909	9314
7.969	77.8	15.7	179	0.0	-0.3698	9672
8.203	76.6	15.3	181	0.0	-0.3521	9905
8.453	75.3	15.3	179	0.0	-0.3416	10136
8.688	75.6	15.6	179	0.0	-0.3741	10489
8.922	76.7	15.6	178	0.0	-0.3630	10726
9.156	77.7	15.6	179	0.0	-0.3673	10964
9.406	77.2	15.7	179	0.0	-0.3551	11322
9.641	77.5	15.6	179	0.0	-0.3870	11558
9.891	77.6	15.7	177	0.0	-0.3559	11916
10.125	77.5	15.6	179	0.0	-0.3782	12158
10.360	77.0	15.5	178	0.0	-0.3909	12393
10.594	76.5	15.5	0	0.0	-0.2413	12629
6/23/2025 2:32:52 PM
0.000	0.0	2.8	0	0.0	0.0000	0
0.282	42.0	28.5	172	0.0	-0.2547	231
0.516	77.8	19.1	184	0.0	-0.2891	627
0.766	84.6	15.2	180	0.0	-0.2929	881
1.000	78.8	15.4	179	0.0	-0.2707	1120
1.250	77.1	15.6	179	0.0	-0.2931	1475
1.485	78.3	15.6	180	0.0	-0.3065	1717
1.735	77.5	15.7	179	0.0	-0.3214	2077
1.969	76.4	15.8	178	0.0	-0.3346	2314
2.235	77.0	15.8	179	0.0	-0.3138	2680
2.469	76.8	15.7	179	0.0	-0.3152	2910
2.688	77.7	15.6	179	0.0	-0.3143	3154
2.938	78.3	15.6	178	0.0	-0.3483	3517
3.204	78.5	15.7	179	0.0	-0.3245	3754
3.454	77.3	15.7	179	0.0	-0.3729	4115
3.688	77.4	15.5	178	0.0	-0.3636	4353
3.922	76.3	15.6	179	0.0	-0.3791	4703
4.157	75.9	15.8	180	0.0	-0.3585	4938
4.407	75.9	15.7	179	0.0	-0.3481	5168
4.657	76.7	15.4	180	0.0	-0.3312	5520
4.891	82.0	15.3	181	0.0	-0.3062	5768
5.125	82.2	15.4	179	0.0	-0.3542	6136
5.360	77.1	15.4	180	0.0	-0.3311	6356
5.610	76.2	15.4	179	0.0	-0.3170	6590
5.875	78.6	15.6	179	0.0	-0.3144	6959
6.110	79.8	15.6	178	0.0	-0.3093	7204
6.344	80.4	15.5	179	0.0	-0.3272	7581
6.579	79.7	15.3	178	0.0	-0.2680	7824
6.829	79.2	15.3	179	0.0	-0.2607	8179
7.063	77.9	15.5	179	0.0	-0.3005	8413
7.297	74.1	15.3	178	0.0	-0.2050	8624
7.532	76.3	15.4	179	0.0	-0.2825	8976
7.782	80.0	15.7	179	0.0	-0.2979	9231
8.032	79.9	15.8	179	0.0	-0.2870	9603
8.266	78.7	15.8	179	0.0	-0.3373	9845
8.516	73.5	15.6	179	0.0	-0.3072	10177
8.750	74.9	15.2	180	0.0	-0.2842	10417
8.969	76.8	15.3	180	0.0	-0.2419	10655
9.219	76.2	15.3	180	0.0	-0.1996	10992
9.469	79.3	15.5	179	0.0	-0.2504	11246
9.704	81.3	15.8	178	0.0	-0.3138	11505
9.922	79.1	15.9	180	0.0	-0.3168	11870
10.172	77.5	15.9	178	0.0	-0.3022	12112
10.422	75.7	15.7	178	0.0	-0.3236	12462
10.672	75.1	0.0	0	0.0	0.0000	12583
6/23/2025 2:36:03 PM
0.000	0.0	3.8	0	0.0	0.0000	2
0.312	68.8	23.4	167	0.0	-0.0916	448
0.547	81.0	17.5	179	0.0	-0.0749	702
0.781	79.6	16.0	179	0.0	-0.1372	1079
1.015	79.6	16.0	179	0.0	-0.1628	1334
1.265	79.8	15.9	178	0.0	-0.1836	1586
1.500	78.1	15.5	179	0.0	-0.1785	1945
1.734	75.7	15.5	178	0.0	-0.2101	2181
1.984	75.6	15.9	179	0.0	-0.1709	2423
2.219	77.6	15.9	180	0.0	-0.2432	2794
2.469	81.7	16.0	179	0.0	-0.2531	3054
2.703	81.9	16.0	178	0.0	-0.2554	3443
2.953	80.9	16.0	180	0.0	-0.2551	3697
3.187	79.1	15.8	179	0.0	-0.2363	3941
3.422	77.6	15.6	180	0.0	-0.2745	4306
3.672	77.3	15.5	179	0.0	-0.2915	4544
3.906	77.0	15.6	178	0.0	-0.3085	4903
4.140	77.1	15.7	180	0.0	-0.2678	5146
4.375	78.6	15.7	179	0.0	-0.3012	5391
4.609	78.5	15.7	180	0.0	-0.3063	5750
4.844	79.2	15.8	181	0.0	-0.3012	6002
5.078	79.5	15.5	180	0.0	-0.3011	6245
5.344	79.8	15.4	179	0.0	-0.2834	6602
5.578	76.3	15.6	178	0.0	-0.2814	6838
5.812	77.5	15.7	180	0.0	-0.3364	7203
6.047	79.1	15.8	180	0.0	-0.3532	7450
6.297	79.5	15.7	178	0.0	-0.3550	7816
6.547	80.1	15.6	179	0.0	-0.3333	8061
6.781	79.6	15.6	179	0.0	-0.3550	8303
7.015	77.8	15.5	178	0.0	-0.2901	8664
7.250	83.2	15.3	179	0.0	-0.2238	8918
7.500	73.2	14.9	178	0.0	-0.1814	9235
7.734	75.2	15.2	180	0.0	-0.2656	9472
7.969	79.1	15.7	179	0.0	-0.2839	9720
8.187	79.4	15.8	179	0.0	-0.3185	10089
8.437	80.2	15.7	179	0.0	-0.3185	10341
8.672	79.4	15.6	179	0.0	-0.3248	10585
8.922	81.9	15.4	179	0.0	-0.2547	10972
9.172	79.7	14.9	179	0.0	-0.2052	11182
9.406	75.1	14.9	181	0.0	-0.2156	11528
9.640	78.1	15.4	178	0.0	-0.2397	11769
9.890	80.3	15.8	178	0.0	-0.2387	12020
10.125	80.3	15.9	178	0.0	-0.2600	12405
10.359	79.7	15.8	178	0.0	-0.2885	12654
10.594	78.6	15.8	179	0.0	-0.3013	12901
6/23/2025 2:39:13 PM
0.000	0.0	8.3	20	0.0	0.0000	2
0.281	69.3	25.7	156	0.0	0.0150	417
0.531	83.0	17.5	181	0.0	-0.0401	674
0.765	79.6	15.8	180	0.0	-0.1181	1055
1.000	76.3	16.0	178	0.0	-0.1346	1291
1.250	74.9	16.0	178	0.0	-0.1127	1537
1.484	73.4	16.1	178	0.0	-0.1811	1890
1.719	75.4	15.9	180	0.0	-0.1817	2129
1.953	75.7	15.8	180	0.0	-0.1962	2481
2.187	73.2	15.8	178	0.0	-0.2304	2710
2.437	78.3	16.0	178	0.0	-0.2053	2971
2.687	79.8	16.0	179	0.0	-0.2745	3340
2.922	80.2	16.0	179	0.0	-0.2988	3592
3.140	80.8	16.0	180	0.0	-0.3138	3848
3.390	77.1	15.7	180	0.0	-0.2453	4202
3.640	72.4	15.0	180	0.0	-0.2211	4419
3.875	75.9	14.8	180	0.0	-0.3234	4764
4.094	73.3	15.3	180	0.0	-0.0794	4970
4.328	76.7	15.4	179	0.0	-0.1263	5205
4.562	79.0	15.6	179	0.0	-0.2026	5573
4.812	80.7	15.7	178	0.0	-0.1850	5833
5.062	81.9	15.9	179	0.0	-0.2452	6219
5.297	78.3	16.0	180	0.0	-0.2692	6457
5.531	78.1	15.4	179	0.0	-0.2565	6700
5.765	78.9	15.3	178	0.0	-0.1929	7067
6.000	75.6	15.7	179	0.0	-0.2562	7285
6.250	77.6	15.3	179	0.0	-0.2556	7517
6.484	79.6	15.6	178	0.0	-0.2651	7889
6.719	81.1	15.8	180	0.0	-0.2408	8151
6.953	80.8	15.8	179	0.0	-0.2845	8527
7.203	77.5	15.8	179	0.0	-0.2666	8772
7.437	72.4	15.1	179	0.0	-0.1709	8984
7.672	76.4	15.1	179	0.0	-0.1972	9335
7.906	77.1	15.4	179	0.0	-0.2351	9573
8.140	76.9	15.4	177	0.0	-0.2593	9802
8.390	77.6	15.4	178	0.0	-0.2202	10165
8.625	79.7	15.7	179	0.0	-0.2438	10425
8.875	80.1	15.9	179	0.0	-0.2278	10803
9.125	74.3	15.9	180	0.0	-0.2442	11026
9.375	73.1	15.6	178	0.0	-0.2792	11376
9.625	76.4	15.5	180	0.0	-0.2251	11612
9.875	77.9	15.4	180	0.0	-0.2016	11967
10.109	78.7	15.5	179	0.0	-0.2315	12213
10.328	81.3	15.8	178	0.0	-0.2374	12466
10.578	82.1	15.9	178	0.0	-0.2881	12859
6/23/2025 2:42:24 PM
0.000	8.4	15.5	136	0.0	-0.1369	139
0.297	79.6	21.6	172	0.0	-0.1610	556
0.547	81.1	16.8	177	0.0	-0.2078	803
0.782	78.3	15.9	178	0.0	-0.2134	1047
1.016	79.4	15.7	179	0.0	-0.2003	1418
1.250	77.2	15.3	180	0.0	-0.1688	1653
1.500	76.1	15.2	180	0.0	-0.1079	2005
1.735	76.0	15.5	179	0.0	-0.1263	2241
1.985	78.0	15.7	179	0.0	-0.1907	2488
2.235	77.9	15.6	179	0.0	-0.1548	2862
2.469	77.6	15.5	180	0.0	-0.1926	3099
2.719	78.1	15.7	179	0.0	-0.1665	3464
2.954	78.4	16.1	179	0.0	-0.2538	3719
3.188	79.1	16.2	179	0.0	-0.2693	3976
3.422	78.8	16.1	179	0.0	-0.2720	4348
3.672	77.5	16.0	180	0.0	-0.2929	4586
3.907	75.8	15.9	180	0.0	-0.2476	4946
4.157	79.5	15.4	177	0.0	-0.2517	5197
4.391	80.1	15.4	179	0.0	-0.2719	5444
4.641	76.4	15.4	179	0.0	-0.2673	5793
4.891	77.3	15.4	179	0.0	-0.2103	6032
5.125	80.3	15.7	180	0.0	-0.2453	6407
5.360	79.3	15.8	180	0.0	-0.2807	6650
5.594	76.2	15.9	179	0.0	-0.2995	7008
5.844	77.9	15.5	179	0.0	-0.3084	7243
6.079	76.3	15.2	180	0.0	-0.2686	7472
6.313	77.3	15.3	178	0.0	-0.2756	7834
6.547	78.2	15.7	178	0.0	-0.2983	8077
6.782	79.1	15.8	178	0.0	-0.2701	8322
7.032	79.1	15.8	178	0.0	-0.2791	8696
7.266	76.7	15.7	179	0.0	-0.3099	8929
7.500	76.0	15.7	179	0.0	-0.3334	9289
7.766	75.7	15.6	179	0.0	-0.2837	9519
8.000	76.4	15.3	177	0.0	-0.2742	9861
8.235	77.0	15.6	179	0.0	-0.3077	10108
8.500	78.0	15.8	180	0.0	-0.3092	10479
8.735	79.6	15.7	179	0.0	-0.3220	10721
8.954	79.3	15.6	180	0.0	-0.2999	10967
9.204	78.0	15.7	179	0.0	-0.3136	11324
9.438	76.9	15.6	180	0.0	-0.3094	11563
9.672	77.6	15.4	180	0.0	-0.3016	11799
9.907	77.8	15.8	179	0.0	-0.3619	12160
10.125	76.1	15.9	178	0.0	-0.3681	12397
10.375	74.9	15.9	178	0.0	-0.3791	12634
6/23/2025 2:45:35 PM
0.000	0.0	9.0	55	0.0	0.0000	0
0.281	69.4	24.1	169	0.0	-0.0230	387
0.531	82.4	17.0	179	0.0	0.0348	770
0.765	78.1	15.5	178	0.0	-0.0832	997
1.015	78.2	15.8	178	0.0	-0.1235	1385
1.265	77.7	16.2	178	0.0	-0.1227	1640
1.500	77.9	16.2	178	0.0	-0.1711	1889
1.734	77.6	16.1	179	0.0	-0.1608	2260
1.968	76.7	16.0	179	0.0	-0.1528	2508
2.203	76.3	16.0	178	0.0	-0.2389	2865
2.437	75.6	15.9	180	0.0	-0.1723	3105
2.671	78.2	15.8	181	0.0	-0.2277	3359
2.921	77.9	15.9	179	0.0	-0.2617	3721
3.140	78.2	15.9	178	0.0	-0.2911	3965
3.390	78.1	15.8	178	0.0	-0.3215	4212
3.609	77.3	15.9	178	0.0	-0.3487	4575
3.843	76.1	15.9	181	0.0	-0.3486	4813
4.093	74.0	15.6	180	0.0	-0.3298	5044
4.328	73.8	15.4	179	0.0	-0.2867	5384
4.578	74.9	15.6	178	0.0	-0.3221	5606
4.796	79.0	15.7	179	0.0	-0.3076	5851
5.031	80.0	15.5	179	0.0	-0.2899	6223
5.281	82.3	15.4	179	0.0	-0.3183	6468
5.515	81.1	15.6	179	0.0	-0.3456	6845
5.750	76.1	15.7	179	0.0	-0.3329	7065
5.984	73.3	15.5	180	0.0	-0.3352	7292
6.234	74.9	15.5	179	0.0	-0.3063	7636
6.468	79.5	15.5	180	0.0	-0.2788	7884
6.718	79.3	15.4	178	0.0	-0.3201	8250
6.984	79.4	15.3	178	0.0	-0.2620	8478
7.203	80.6	15.3	179	0.0	-0.2356	8729
7.437	79.2	15.5	178	0.0	-0.3079	9092
7.671	75.4	15.7	180	0.0	-0.2656	9325
7.906	75.8	15.2	178	0.0	-0.2472	9673
8.140	79.7	15.3	179	0.0	-0.2200	9917
8.375	79.5	15.3	178	0.0	-0.1596	10151
8.609	78.0	15.5	177	0.0	-0.2576	10516
8.859	79.1	15.7	179	0.0	-0.2550	10761
9.093	81.5	15.8	179	0.0	-0.2875	11017
9.328	79.7	15.9	179	0.0	-0.2518	11395
9.546	77.4	15.7	179	0.0	-0.2622	11628
9.796	77.2	15.4	178	0.0	-0.2443	11866
10.031	79.1	15.6	179	0.0	-0.2526	12241
10.281	80.1	15.8	178	0.0	-0.3023	12489
10.531	79.0	15.8	179	0.0	-0.2774	12857
6/23/2025 2:48:46 PM
0.000	25.2	26.2	227	0.0	-0.2569	175
0.282	71.6	21.1	184	0.0	-0.2302	505
0.516	78.5	16.1	178	0.0	-0.2465	750
0.766	76.3	15.5	178	0.0	-0.2129	1096
1.016	76.7	15.5	179	0.0	-0.2099	1342
1.250	78.6	15.5	179	0.0	-0.1174	1587
1.485	78.2	15.5	180	0.0	-0.1993	1948
1.719	77.1	15.6	179	0.0	-0.2433	2198
1.969	76.2	15.7	179	0.0	-0.2504	2435
2.219	76.0	15.7	179	0.0	-0.2297	2787
2.453	75.4	15.6	179	0.0	-0.2138	3022
2.688	74.4	15.3	179	0.0	-0.2074	3361
2.922	73.0	15.3	179	0.0	-0.2243	3596
3.157	74.7	15.6	178	0.0	-0.1927	3829
3.422	76.7	15.9	179	0.0	-0.2617	4197
3.657	81.5	15.9	178	0.0	-0.2820	4461
3.907	83.2	15.9	179	0.0	-0.2927	4848
4.157	80.8	15.9	179	0.0	-0.3130	5097
4.391	78.6	15.8	179	0.0	-0.3179	5465
4.625	77.1	15.6	180	0.0	-0.3124	5706
4.860	77.6	15.8	180	0.0	-0.3423	5950
5.110	77.0	15.9	180	0.0	-0.3509	6313
5.360	76.4	15.7	179	0.0	-0.3517	6543
5.594	78.5	15.4	178	0.0	-0.3274	6904
5.813	80.3	15.6	180	0.0	-0.3181	7150
6.047	80.8	15.7	179	0.0	-0.3162	7400
6.297	79.9	15.5	179	0.0	-0.3403	7773
6.532	77.9	15.5	179	0.0	-0.3183	8010
6.750	77.6	15.7	178	0.0	-0.3646	8251
6.985	75.6	15.8	179	0.0	-0.3500	8596
7.219	78.6	15.4	180	0.0	-0.3445	8842
7.469	80.6	15.6	180	0.0	-0.3600	9090
7.703	80.5	15.6	178	0.0	-0.3678	9460
7.938	79.8	15.6	179	0.0	-0.3589	9706
8.157	78.0	15.4	179	0.0	-0.2761	9942
8.407	77.8	15.1	179	0.0	-0.2846	10299
8.657	78.5	15.4	178	0.0	-0.3022	10536
8.922	77.0	15.8	180	0.0	-0.3096	10887
9.141	78.1	15.8	179	0.0	-0.3465	11136
9.391	79.0	15.6	179	0.0	-0.3279	11501
9.625	79.1	15.4	179	0.0	-0.3256	11744
9.875	77.9	15.5	179	0.0	-0.3220	12105
10.125	78.6	15.7	179	0.0	-0.3147	12353
10.360	77.2	15.8	178	0.0	-0.3201	12589
6/23/2025 2:51:56 PM
0.000	0.0	4.5	0	0.0	0.0000	3
0.282	62.1	26.1	168	0.0	-0.1241	318
0.532	79.4	18.0	180	0.0	-0.0916	687
0.750	76.8	15.8	180	0.0	-0.1361	934
0.985	75.8	15.7	180	0.0	-0.1547	1179
1.235	75.6	15.9	181	0.0	-0.1605	1542
1.485	76.3	16.0	180	0.0	-0.1773	1782
1.719	77.1	16.1	179	0.0	-0.1876	2155
1.954	77.4	16.1	178	0.0	-0.2083	2402
2.188	75.9	16.1	178	0.0	-0.2761	2642
2.422	74.1	16.2	179	0.0	-0.2735	3001
2.657	74.9	16.1	179	0.0	-0.2847	3237
2.907	73.5	16.0	178	0.0	-0.3111	3585
3.125	78.4	15.5	179	0.0	-0.2732	3843
3.375	85.0	15.2	179	0.0	-0.3019	4087
3.625	82.5	15.7	179	0.0	-0.3212	4458
3.875	75.8	15.6	180	0.0	-0.3128	4665
4.125	74.9	15.6	179	0.0	-0.3073	5030
4.360	77.4	15.6	178	0.0	-0.3041	5268
4.579	79.9	15.8	179	0.0	-0.3569	5518
4.829	80.3	15.8	180	0.0	-0.3596	5886
5.063	77.7	15.5	180	0.0	-0.3286	6125
5.297	79.0	15.2	179	0.0	-0.2850	6354
5.532	78.1	15.6	178	0.0	-0.3193	6709
5.750	77.0	15.5	178	0.0	-0.3080	6941
6.000	77.5	15.6	179	0.0	-0.2811	7174
6.235	79.0	15.8	179	0.0	-0.3200	7540
6.485	80.4	15.7	179	0.0	-0.3484	7792
6.719	79.4	15.7	179	0.0	-0.3497	8157
6.954	77.8	15.3	179	0.0	-0.2856	8390
7.204	78.1	15.1	178	0.0	-0.2994	8744
7.454	75.5	15.3	179	0.0	-0.2486	8967
7.704	77.9	15.7	179	0.0	-0.2766	9213
7.922	79.1	15.8	180	0.0	-0.3088	9580
8.157	80.1	15.9	179	0.0	-0.3125	9829
8.407	78.6	15.7	178	0.0	-0.2659	10186
8.657	74.0	15.2	179	0.0	-0.2778	10406
8.891	75.8	15.1	179	0.0	-0.3038	10638
9.125	75.8	15.6	179	0.0	-0.2904	10981
9.360	77.2	15.7	179	0.0	-0.2751	11224
9.610	79.6	15.7	179	0.0	-0.3171	11598
9.860	78.9	15.8	179	0.0	-0.3192	11839
10.094	76.8	15.6	179	0.0	-0.2459	12192
10.329	76.6	15.4	180	0.0	-0.3222	12431
10.579	75.7	15.4	179	0.0	-0.2970	12666
6/23/2025 2:55:07 PM
0.000	0.0	3.0	0	0.0	0.0000	3
0.281	62.8	25.6	166	0.0	-0.0208	285
0.531	79.8	18.0	183	0.0	-0.0587	666
0.766	76.6	15.9	180	0.0	-0.1165	904
1.016	76.2	16.1	179	0.0	-0.1042	1279
1.250	76.9	16.3	179	0.0	-0.1885	1525
1.500	77.1	16.1	179	0.0	-0.1740	1900
1.735	78.2	16.0	180	0.0	-0.1412	2148
1.969	77.6	15.8	180	0.0	-0.1809	2392
2.219	75.2	15.9	179	0.0	-0.2298	2748
2.453	72.9	15.9	179	0.0	-0.2687	2982
2.688	76.2	15.9	178	0.0	-0.2546	3227
2.922	80.9	15.8	179	0.0	-0.3051	3609
3.156	84.0	15.9	178	0.0	-0.3308	3874
3.406	82.3	15.9	179	0.0	-0.3015	4256
3.641	83.7	15.5	180	0.0	-0.2422	4508
3.891	79.7	15.2	178	0.0	-0.2025	4844
4.125	73.9	14.9	179	0.0	-0.2265	5072
4.360	75.8	15.6	178	0.0	-0.2537	5310
4.610	79.1	16.0	178	0.0	-0.2775	5681
4.860	79.9	16.0	178	0.0	-0.3093	5933
5.094	79.4	15.9	179	0.0	-0.3133	6304
5.313	80.7	15.8	180	0.0	-0.3041	6555
5.547	79.2	15.6	178	0.0	-0.3464	6800
5.797	77.3	15.4	177	0.0	-0.3150	7154
6.047	77.0	15.4	177	0.0	-0.3309	7383
6.281	78.3	15.7	179	0.0	-0.3067	7631
6.500	79.1	15.8	178	0.0	-0.3348	7994
6.766	78.4	15.8	178	0.0	-0.3481	8240
7.016	78.1	15.6	179	0.0	-0.3387	8601
7.250	78.4	15.5	178	0.0	-0.3367	8842
7.500	75.5	15.1	179	0.0	-0.2667	9175
7.719	75.4	15.6	179	0.0	-0.3333	9415
7.969	75.3	15.9	179	0.0	-0.3863	9645
8.203	78.1	15.8	179	0.0	-0.3493	10012
8.438	78.9	15.7	179	0.0	-0.3966	10250
8.688	77.8	15.7	180	0.0	-0.3633	10609
8.922	78.4	15.5	179	0.0	-0.3436	10850
9.172	79.2	15.0	178	0.0	-0.2835	11086
9.422	73.6	15.2	181	0.0	-0.3113	11419
9.688	75.9	15.6	178	0.0	-0.3467	11661
9.922	79.0	15.8	180	0.0	-0.3649	12027
10.156	78.1	15.8	179	0.0	-0.3805	12263
10.375	76.2	15.8	178	0.0	-0.3855	12504
10.625	75.3	15.9	178	0.0	-0.3377	12852
6/23/2025 3:00:18 PM
0.000	0.0	12.2	75	0.0	0.0000	2
0.297	52.7	25.9	168	0.0	-0.2338	287
0.547	81.5	16.9	178	0.0	-0.2676	698
